origin,date,deal_id,salesforce_crm_id,currency,deal_name,name_source,business_line,brand,agency_group_name,agency,dsp,seat_id,country_served,country_sold,owner,am_csm,inventory_type,gross_revenue,pub_cost,curator_margin_total,curator_margin_stx,curator_margin_curator,margin,requests,bids,wins,impressions,sf_product_lines,pct_of_qtd
BFM,2026-08-21,BFM017,,USD,Basis Deal - Politics Allowed CTV,Beachfront,DSP Marketplace,kipptexas.org,Beachfront Deal Migration,Beachfront Deal Migration,Basis Technologies,112053,,,,,CTV,0.02,0.01,,,,0.01,2,2,2,1,,0.0
BFM,2026-08-22,Beach205,,USD,SmartyAds Sports Deals - CTV,Beachfront,DSP Marketplace,usa.gov,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.02,0.01,,,,0.01,10,11,11,2,,0.0
BFM,2026-08-23,PMGPub,,USD,PMG - Pub Targeting,Beachfront,Curation 3rd Party,carlsjr.com,Camelot,Camelot,Yahoo,8,,,,,CTV,0.02,0.01,,,,0.01,12,12,12,3,,0.0
BFM,2026-08-26,254822275978,,USD,SmartyAds Deal - CTV (Holiday-Shopping),Beachfront,DSP Marketplace,sabal-group.com,,,Smarty Ads,6723,,,,,CTV,0.02,0.02,,,,0.0,14,14,16,2,,0.0
BFM,2026-08-24,AENet1,,USD,Adtilligent Deal,Beachfront,Curation 3rd Party,moneygram.com,A+E Networks,A+E Networks,Adtelligent,,,,,,CTV,0.02,0.02,,,,0.0,1,60572838,116,1,,0.0
BFM,2026-08-22,Beach258,,USD,SmartyAds - Memorial Day - 2026 Deal,Beachfront,DSP Marketplace,newpub.co,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.02,0.02,,,,0.0,5,5,5,5,,0.0
BFM,2026-08-22,809610338399,,USD,MadHive Deal - CTV - Frndly - No Content Data,Beachfront,DSP Marketplace,graymedia.com,BFM Internal,BFM Internal,MadHive,madhive,,,,,CTV,0.02,0.02,,,,0.0,3,3,3,1,,0.0
STX,2026-08-21,NEUROX-180826-hCgfFq,270949,USD,NeuroX | Always-On | 80%+ High VCR Video,Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.02,0.01,0.0,0.0,0.0,0.01,34257177,768,608,9,1,0.0
STX,2026-08-25,NEUROX-250826-hNNSrT,,EUR,Seedtag NeuroX | Always-On | Senior Wellness Advocates - Connected TV,Seedtag,DSP Marketplace,,,,,,,,,,,0.02,0.01,0.0,,,0.01,99740097,22,21,3,,0.0
BFM,2026-08-26,Beach252,,USD,SmartyAds - American Football - 2026 Deal,Beachfront,DSP Marketplace,bcm.edu,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.02,0.02,,,,0.0,2,2,2,2,,0.0
STX,2026-08-27,NEUROX-180826-hCgfFq,270949,USD,NeuroX | Always-On | 80%+ High VCR Video,Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.02,0.01,0.0,0.0,0.0,0.0,23033550,553,366,6,1,0.0
STX,2026-08-24,71dc461d-ed39-4dfe-a1ae-94c3991c8561,,EUR,__DEAL__PA__239643__LEXUS__PUBLICIS_MEDIA__PMX-LEXUS-T2-PREMIUM-CURATED-ALWAYS-ON__US__US__JUL__2026____NEUROX__PCOV__P10,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,0.02,0.0,0.0,,,0.02,26883583,3,3,1,,0.0
STX,2026-08-25,NEUROX-180826-hCgfFq,270949,USD,NeuroX | Always-On | 80%+ High VCR Video,Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.02,0.0,0.0,0.0,0.0,0.01,42566901,742,650,11,1,0.0
BFM,2026-08-21,666682540156,,USD,Adtelligent Sensitive Category Deal - Nicotine - CTV,Beachfront,DSP Marketplace,possiblefinance.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,10,,,,,CTV,0.01,0.01,,,,0.0,2,29,29,1,,0.0
BFM,2026-08-25,Beach205,,USD,SmartyAds Sports Deals - CTV,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.01,0.01,,,,0.0,4,4,4,1,,0.0
BFM,2026-08-24,251829334263,,USD,Adtelligent Sensitive Categories Deal - Gambling - CTV,Beachfront,DSP Marketplace,tonies.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,7fb78c4d5c,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-25,Quoru52,,USD,Quorum Optimized > Viant > Nationwide Targeting - Banner,Beachfront,Curation 3rd Party,genespowersports.com,Quorum,Quorum,Viant,4089,,,,,Web,0.01,0.01,,,,0.0,18,18,18,6,,0.0
BFM,2026-08-24,496502243352,,USD,Kaiser Permanente Care Delivery H2 2026 - 6226,Beachfront,DSP Marketplace,kaiserpermanente.org,Beachfront Deal Curation,Beachfront Deal Curation,Yahoo,6226,,,,,CTV,0.01,0.01,,,,0.0,600,600,600,2,,0.0
